"company_name","account_type","owner","phone","website"
Medisch Spectrum Twente,0,,,
A.Pacione AeCTech srls,0,,,
Aalberts Industries,0,,,
ABAB,0,,,
ABN AMRO Corporate Headquarters,0,,,
ACCUREC NEDERLAND BV,0,,,
ACE Options,0,,,
Aces Direct,0,,,
Achmea,0,,,
ADCbit,0,,,
Adecco Group,0,,,
ADi Audiovisual Ltd,0,,,
ADT Trade International,0,,,
Advanced Digital Dynamics Ltd.,0,,,
Advisor,0,,,
ADVISOR ICT SOLUTIONS,0,,,
Adyen,0,,,
Aebi Schmidt,0,,,
Aegon ,0,,,
AFAS Software,0,,,
AFS Group,0,,,
AG Training 1,0,,,
AGR.IT srl,0,,,
Ahold koninklijke N.V.,0,,,
AITITECH LTD,0,,,
AKDP Advocaten,0,,,
AkzoNobel,0,,,
Albert Schweitzer Ziekenhuis,0,,,
albron BV,0,,,
Alexander Moor IT-SERVICE,0,,,
Alfanet S.A.,0,,,
Alfen,0,,,
Aliter Networks,0,,,
ALL in TRADE Israel LTD.,0,,,
Allen & Overy LLP,0,,,
Allen en Overy ,0,,,
Alliander,0,,,
Allround Job,0,,,
Aloysius Stichting,0,,,
Alpha-Dox,0,,,
Alpina Group,0,,,
Alturna Networks,0,,,
Amazon EU S.à r.l,0,,,
AmbaFlex ,0,,,
AMOLF,0,,,
Amvest,0,,,
Antonius Ziekenhuis,0,,,
ANVA BV,0,,,
APG,0,,,
Arag SE Nederland,0,,,
Arbo Unie,0,,,
Arg123454,0,,,
ARGO Training LTD,0,,,
Argo360,0,,,
argotestervj,0,,,
Arie Keijzer,0,,,
Arousa Digital    (Carre Olivier Jean Claude),0,,,
ARP Solutions,0,,,
ARTENAX IMPORT-EXPORT,0,,,
Arup,0,,,
AS Watson,0,,,
Asito,0,,,
ASM Technologies Ltd,0,,,
AstraZeneca,0,,,
AtomITAD,0,,,
Avensus,0,,,
Axians,0,,,
Azalea Global IT AB,0,,,
AZTEC GLOBAL SOLUTIONS,0,,,
Balieaccount,0,,,
Ballast Nedam,0,,,
BAM bouw & vastgoed ,0,,,
Banque Chaabi Du Maroc,0,,,
Basis Orange,0,,,
Bayer,0,,,
BCC,0,,,
BCS HRM en Salarisadministratie,0,,,
Berenschot,0,,,
Between staffing,0,,,
Bibliotheek Utrecht,0,,,
Bibliotheek Zuid Kennemerland (BZK) ,0,,,
Bidfood,0,,,
BINX Smartility,0,,,
Bircon Networks,0,,,
BK Elektro,0,,,
blenderz events,0,,,
Blue Shell B.V.,0,,,
BMP ,0,,,
BOL d.o.o.,0,,,
Bol.com,0,,,
Bouwmaat,0,,,
Brainnet,0,,,
Bravis Ziekenhuis,0,,,
Bravo Networking BV,0,,,
Breedweer,0,,,
Breinstein ,0,,,
Brocacef,0,,,
Brunel International NV,0,,,
Buckaroo B.V.,0,,,
C&A Nederland C.V.,0,,,
C&D BrokSolutions S.L.,0,,,
C. Steinweg - Handelsveem B.V.,0,,,
CAMEO COMPUTER SERVICES UK Ltd.,0,,,
camera-tweedehands,0,,,
Cannock ,0,,,
Canon Nederland N.V.,0,,,
C-Enter BV,0,,,
Centric,0,,,
CEVA Freight,0,,,
CEVA Logistics Belgium N.V.,0,,,
CEVA Logistics Headoffice BV,0,,,
CEVA Logistics Netherlands BV,0,,,
Channel-C Ltd,0,,,
Clarion Communication Systems Ltd,0,,,
Cleanlease,0,,,
Cloudwise,0,,,
CMS,0,,,
Codeo - SARL RHONE TRADING,0,,,
Cofra Holding,0,,,
Columbia Threadneedle Netherlands B.V. ,0,,,
Commerze-IT,0,,,
Company Connect,0,,,
Comptest Polska Sp. z o.o.,0,,,
Compu-Factory,0,,,
COMPULEASE S.L,0,,,
Computer Lease Nederland B.V.,0,,,
CompuTrade Luxembourg Sàrl,0,,,
Computron (ΚΑΤΣΙΑΠΗΣ ΖΗΣΟΣ ΑΝΔ ),0,,,
Comtek Communications BV,0,,,
Comtek Network Systems (UK) Ltd,0,,,
Comtrade Krzysztof Mazgaj,0,,,
Concentrix,0,,,
Conclusion,0,,,
Conclusion BV,0,,,
Consolid Uitzendbureau,0,,,
CONTROL HOUSE INTL,0,,,
Covenco UK Ltd,0,,,
CTI Trading BV,0,,,
Cubitel SL,0,,,
curatoren van Amsterdam Trade Bank N.V.,0,,,
Cybertrading GmbH,0,,,
Cygnus Gymnasium,0,,,
CZ Groep / zorgverzekeraar,0,,,
Daaf Geluk,0,,,
DATA-PART LIMITED,0,,,
Datatek Ltd,0,,,
DB Cargo Nederland,0,,,
De Volksbank,0,,,
Dell BV,0,,,
Deloitte accountants B.V.,0,,,
Delta Fiber,0,,,
Dexlab,0,,,
DHS - Direct Hardware Supply,0,,,
Divitel Financial Services BV,0,,,
DizzCo IT Distribution,0,,,
DOL Service - Dorota Dolata,0,,,
DPG Media,0,,,
Dragon Computer Remarketing Ltd,0,,,
DSP-groep,0,,,
DSV,0,,,
DTC INTERNATIONAL LIMITED,0,,,
Dunea,0,,,
Duo Plus,0,,,
Dutch Flower Group,0,,,
Dutchwyse B.V.,0,,,
Dynniq,0,,,
Eastman Chemical EMEA B.V. ,0,,,
EASY HARDWARE TRADING B.V.,0,,,
EDSN,0,,,
Electronic Arts Inc EA ,0,,,
Elektor International Media,0,,,
Eneco ,0,,,
Enexis,0,,,
Engie services,0,,,
Enovation,0,,,
EquensWordline,0,,,
ERIKS N.V,0,,,
Ernst & Young,0,,,
ERTG vastgoed,0,,,
ESO (Elias Soft- en Hardware ONtwikkeling),0,,,
ESphere Network GmbH,0,,,
Essentra Components,0,,,
Estunt.nl,0,,,
EuroCCP,0,,,
Eurocept homecare ,0,,,
Eurofiber,0,,,
EURONETIX,0,,,
Euronext,0,,,
European Central Counterparty N.V.,0,,,
European Computer Telecoms BV,0,,,
European Hardware Solutions B.V.,0,,,
European Network Services SARL,0,,,
EVERNEX,0,,,
Evident,0,,,
Extron Europe,0,,,
Facilicom Group,0,,,
Falmant Global Resources S.L.,0,,,
FastForwardIT (FFIT),0,,,
Feenstra NV,0,,,
Financial Services BV,0,,,
Fletcher Hotels,0,,,
Flevo Ziekenhuis,0,,,
Flora Borne,0,,,
Fokker,0,,,
Fonq,0,,,
FourPoints Business Intelligence,0,,,
Freek Alewijn,0,,,
FTC,0,,,
Fugro,0,,,
Fujitsu Nederland,0,,,
Fysiotherapie Gezondheidscentrum Kerkelanden,0,,,
G4S Nederland,0,,,
Garage Wielingenplein BV,0,,,
Geckotools,0,,,
Gemeente Haarlemmermeer,0,,,
Geodan,0,,,
GezondheidsCentrum Kerkelanden,0,,,
GGD Amsterdam,0,,,
GLOBAL OPTIONS TECH 2004 LTD,0,,,
Globo Remarketing,0,,,
Go Communications Systems Ltd,0,,,
GoGreen IT,0,,,
Grandvision benelux,0,,,
GraphicSolutions,0,,,
Graydon,0,,,
Great Western Trading,0,,,
GREEN EARTH LTD,0,,,
Greenhouse,0,,,
Greenpeace International,0,,,
Greensafe IT LTD,0,,,
Greenwheels latest,0,,,
Grenkefinance N.V.,0,,,
Greyhouse B.V.,0,,,
Grupo Digalco S.L.,0,,,
Hakkers civil engineering,0,,,
HARDLEVEL COMPUTER S.L.,0,,,
Hardware & Parts,0,,,
Hardware4Sale,0,,,
HardwareTrading.nl,0,,,
Harshita Enterprises,0,,,
Harvey Nash BV ,0,,,
Headfirst,0,,,
Heijmans Infra,0,,,
Heineken international,0,,,
Heineken nederland,0,,,
Heinen & Hopman,0,,,
HEMA,0,,,
Hendrik Hol,0,,,
Hengeveld IT,0,,,
Henkel,0,,,
Het Van Weel-Bethesda Ziekenhuis,0,,,
Holland Casino,0,,,
Holland Hardware B.V.,0,,,
Holland Recycling B.V.,0,,,
Hoogvliet BV,0,,,
Horlings Nexia Accountants & Belastingadviseurs ,0,,,
HoShop,0,,,
House of Beta,0,,,
HTC services global / CIBER,0,,,
Huisartsenpraktijk Lage Zwaluwe,0,,,
Hutchison Ports ECT Rotterdam,0,,,
HVEG Fashion Group,0,,,
IBN,0,,,
ICC Managed Services Ltd,0,,,
ICM B.V. the it-resell company,0,,,
ICS,0,,,
ICT Group,0,,,
Idexx Europe Holding,0,,,
IG&H,0,,,
Ilionx,0,,,
Ilja Hengeveld,0,,,
Imagine Technology Ltd,0,,,
IMN GmbH,0,,,
Impro Group Srl.,0,,,
INBO ,0,,,
Incentro,0,,,
Incom Telecommunications,0,,,
Infosys,0,,,
Infotopics bv,0,,,
Inside Systems A/S,0,,,
InsingerGilissen,0,,,
Insurgo Media Services Ltd,0,,,
Intergamma,0,,,
International Card Services BV,0,,,
Intertrust Group,0,,,
Interxion,0,,,
Intraffic,0,,,
Intravacc,0,,,
Inventory Management Europe LTD,0,,,
iOffice,0,,,
IP Technology,0,,,
IPG Mediabrands,0,,,
IPTP Networks,0,,,
IT Asset Management Group,0,,,
IT Guru,0,,,
IT MAX UAB,0,,,
IT4Sale,0,,,
IT4Trade GmbH,0,,,
iTAD Solutions,0,,,
ITAD Solutions LLC,0,,,
ITECH DEVICES UK LTD,0,,,
ITEK Data Ltd.,0,,,
IT-Planet GmbH,0,,,
Ivo rechtspraak,0,,,
Ixus Trade,0,,,
Jaarbeurs Utrecht,0,,,
Jacobs douwe egberts,0,,,
Jan van de Bor,0,,,
JANS Informática Lda.,0,,,
Jeroen Bosch Ziekenhuis ,0,,,
Jumbo Supermarkten,0,,,
Kaisidis Ntemis & Sia EE,0,,,
Kamer Van koophandel Woerden,0,,,
Kamera Express Amsterdam B.V.,0,,,
KAREKLAS CONSTANTINOS and CO - DIGITAL MOUNTAINS,0,,,
KBK Bouw groep,0,,,
KBK Bouwgroep,0,,,
Kimbrer Computer ApS,0,,,
Kiwa,0,,,
KNS automatisering ,0,,,
KOcycle,0,,,
Koninklijke BAM groep N.V.,0,,,
KONSER OHG,0,,,
Koopman International,0,,,
KOSMONTATA EPE,0,,,
KPMG Meijburg & Co,0,,,
Kwekerij van Maldegem,0,,,
L&A Advocaten,0,,,
Lansink wegenbouw B.V ,0,,,
LaptopCentrale B.V.,0,,,
Lasaulec,0,,,
Laus Informatica srl,0,,,
LeanAds,0,,,
Leaseplan Corporate,0,,,
LeasePlan Nederland N.V.,0,,,
Les Immeubles Jacques Robitaille inc Jacques Robit,0,,,
Lexence N.V. advocaten & notarissen,0,,,
Lidl Belgium GmbH & Co. KG,0,,,
Lidl Nederland,0,,,
Limor,0,,,
Linkit BV,0,,,
Lisa van Waardenburg,0,,,
LNV Digital Systems Ltd,0,,,
Logis.P,0,,,
Logstat Belgium NV,0,,,
Lokalis,0,,,
LSR Landelijk Steunpunt (Mede)Zeggenschap,0,,,
Luchtverkeersleiding Nederland ,0,,,
Lyktek GmbH,0,,,
Maincubes B.V. ,0,,,
Makor Solutions Training,0,,,
Makro,0,,,
Mammoet ,0,,,
Manchester Technologies Data (Sourcing) Ltd,0,,,
Maraelite Kft,0,,,
Marel,0,,,
Martens,0,,,
Maxima Medisch Centrum,0,,,
MCX Administration Services BV  ,0,,,
Media monks ,0,,,
Mediacollege Amsterdam,0,,,
Mediq,0,,,
Medux,0,,,
Meijburg & Co,0,,,
Meijers Assurantiën,0,,,
Meqtrade BV,0,,,
Mercado IT - Etic Online S.L.,0,,,
MES srl.,0,,,
Metzconsult GmbH,0,,,
MIB SIGURNOSNI INFORMATIČKI,0,,,
Microfix BV,0,,,
MILBOT SRL.,0,,,
Mileservices,0,,,
Mileway,0,,,
Mim Training,0,,,
Mim Training123,0,,,
Mim van Mixxim,0,,,
MimTraining BV,0,,,
Ministerie van Binnenlandse Zaken en Koninkrijkrelaties,0,,,
Ministerie van Binnenlandse Zaken en Koninkrijkrelaties SSC-ICT Den Haag,0,,,
Ministerie van SZW,0,,,
Missing Piece,0,,,
Mitra Karanki,0,,,
MIXXIM Maroc,0,,,
MK-Trading,0,,,
MMIT,0,,,
MOBA B.V.,0,,,
Moba bv,0,,,
Mobis Parts Europe N.V.,0,,,
Monkey BV,0,,,
Multimedia trading bv,0,,,
m-Wize-IT,0,,,
MySolution,0,,,
Nationale hypotheek garantie,0,,,
Nationale Nederlanden groep ,0,,,
NCI SAS,0,,,
Nederlands Diensten Centrum voor ICT BV,0,,,
NEP Media Solutions BV,0,,,
NetTech Trading Ltd,0,,,
Network Republic Europe BV,0,,,
Networkser,0,,,
NEWLIFE ELECTRONICS LLC,0,,,
neXchance GmbH,0,,,
Nielsen Brandbank,0,,,
Noordhoff,0,,,
NoordWest Ziekenhuisgroep,0,,,
Novadic-Kentron,0,,,
NPO ,0,,,
NRC Media,0,,,
NS Reizigers,0,,,
Nuts Groep,0,,,
NXP semiconductors,0,,,
Oceanco,0,,,
Odin groep ,0,,,
OEK Produkties,0,,,
OLVG,0,,,
Omnimedia Group S.a.s.,0,,,
Omnisys S.A,0,,,
OneFace IT GmbH,0,,,
ONVZ zorgverzekeraar,0,,,
Opkoop Nederland,0,,,
Oracle,0,,,
Orangehill B.V.,0,,,
Ordina,0,,,
Organisatie Adviesbureau Bothmer,0,,,
Park Place Technolgies,0,,,
Paul Frederix,0,,,
PBLQ,0,,,
PCXS Solutions Inc,0,,,
PDZ,0,,,
Pensioenfonds Unilever Nederland ,0,,,
PeoplePower,0,,,
Pepsico Nederland,0,,,
PEQ B.V.,0,,,
Peter van Gemert,0,,,
PGB Pensioendiensten,0,,,
PGGM,0,,,
Philips,0,,,
Piceasoft,0,,,
PICS TELECOM INTERNATIONAL,0,,,
PICS Telecom International Ltd,0,,,
Ping IT,0,,,
Pinkroccade,0,,,
Plan B IT Solutions Ltd,0,,,
Plus retail ,0,,,
PON,0,,,
PON Banden Groep (PBG B.V.),0,,,
Pon Dealer Groep,0,,,
Porsche Dealer Rotterdam,0,,,
Post CS B.V.,0,,,
PQR,0,,,
PRB TRADE srl,0,,,
Prenetal,0,,,
PrimNetworks,0,,,
Procurri Europe Ltd (Cirencester Division),0,,,
Procurri Europe Ltd (Warrington Division),0,,,
Prodec Networks Ltd.,0,,,
Prodware,0,,,
Protempo Distribution B.V.,0,,,
Protinus IT,0,,,
PVH ,0,,,
Quality Contacts B.V.,0,,,
Quin dokters,0,,,
Quin Dokters Amsterdam BV,0,,,
QX Systems,0,,,
Rabobank,0,,,
Radiotherapiegroep,0,,,
RAI Amsterdam,0,,,
Ram-geheugen.nl,0,,,
Randstad ,0,,,
Reade medisch center,0,,,
Real Logistic Services International,0,,,
Redevco B.V.,0,,,
Renfrewshire Electronics Ltd,0,,,
Restaurant Company Europe (RCE),0,,,
Retail Computer Warehouse B.V.,0,,,
Return-IT,0,,,
REWARE PLANET,0,,,
RGB BV,0,,,
RGF Staffing,0,,,
Rheinmetall Defence Nederland B.V.,0,,,
Rheinmetall Nederland,0,,,
Richard van de Bor,0,,,
Ricoh,0,,,
Rijksmuseum,0,,,
RL Networks B.V.,0,,,
RNHB,0,,,
Rochdale,0,,,
Royal Ahrend,0,,,
Royal Haskoning,0,,,
Royal IHC,0,,,
Royal Tropical Institute ,0,,,
RSM,0,,,
RTL,0,,,
Sanoma ,0,,,
Scheidt & bachman,0,,,
Schoeller Allibert Services B.V,0,,,
Schwehm IT,0,,,
Scotch & Soda B.V. ,0,,,
Scottish Data Systems,0,,,
SDL,0,,,
Sealed Air,0,,,
Second Hand HP  (TCOP),0,,,
Secure IT Services Ltd (SECURE ITAD SERVICES LTD ),0,,,
SEMANTIC SRL,0,,,
Semsys,0,,,
ServerDirect B.V.,0,,,
ServerHome,0,,,
SGS & Co,0,,,
Shuqri Abdullah,0,,,
SHV,0,,,
SJG Weert,0,,,
SLNT,0,,,
SM-GLOBAL TRADERS LTD.,0,,,
Socia B.V.,0,,,
Socia ICT,0,,,
SODEXO ,0,,,
Software bastards,0,,,
Sogeti,0,,,
Solera,0,,,
Solid Systems Global Limited,0,,,
Solitee B.V.,0,,,
SourceCom BV,0,,,
SOVAMAX TRADING GMBH,0,,,
Spaarne Gasthuis,0,,,
Spliethoff Group,0,,,
Spoedtest,0,,,
Spotbuyer Ltd.,0,,,
Spotta,0,,,
Sprague Europe BV,0,,,
Sprint Computer Services,0,,,
St. Annagroep ,0,,,
St. Maartenskliniek,0,,,
Starcom Industry,0,,,
Stater,0,,,
Stella Fietsen BV,0,,,
Stephan Training,0,,,
Sterren College Haarlem,0,,,
Stichting Aloysius,0,,,
Stichting Argan,0,,,
Stichting De Omslag,0,,,
Stichting De Rading,0,,,
Stichting Leergeld Amsterdam,0,,,
Stichting Leergeld Utrecht,0,,,
Stichting PCOU,0,,,
Stichting Wakker Dier,0,,,
Stichting Zorgring,0,,,
Stolt Nielsen,0,,,
Storex Servidores,0,,,
StrategyNext,0,,,
Studyworks,0,,,
Sunspeed Transport Services Ltd ,0,,,
Supply Value,0,,,
SURF ,0,,,
Swaan Design BV,0,,,
Sweco,0,,,
Swelaser AB,0,,,
Swift,0,,,
Swisslog B.V,0,,,
Switch Datacenters groep,0,,,
Switch IT,0,,,
Synacor Inc,0,,,
T mobile,0,,,
Takashi Inoue,0,,,
Talent & Pro,0,,,
TAMS Computer Sales and Recycling,0,,,
Tandartspraktijk van Gorp,0,,,
Tate & Lyle,0,,,
TCO certified e-waste compensated,0,,,
Tebovisie,0,,,
Techbuyer (UK) Ltd.,0,,,
Technimax s.r.o.,0,,,
Technische Unie,0,,,
TechTek,0,,,
TEKEUROPE UK LTD,0,,,
Telasys Ltd,0,,,
Telecom Sourcing Network Inc,0,,,
Telefone Resources UK Ltd,0,,,
Telegraaf Media Groep,0,,,
Telindus,0,,,
Terabyte BV,0,,,
Tergooi,0,,,
Tesorions operations ,0,,,
Test Bert 1,0,,,
test bert bv,0,,,
Test MB Marketing,0,,,
test1234,0,,,
TestAccout,0,,,
Teva Pharmaceutical Industries Ltd,0,,,
Thales groep,0,,,
That’s IT!,0,,,
Thieme meulenhof ,0,,,
Tie Kinetix,0,,,
Tienda IDC,0,,,
Tills Direct LTD,0,,,
TIP Europe,0,,,
T-mobile,0,,,
T-Mobile/Tele2,0,,,
Tonino Advocaten,0,,,
Top Ten USA,0,,,
TopTaal,0,,,
Total Design,0,,,
Tourismgroup,0,,,
TP ICAP,0,,,
Training BV,0,,,
TrainingBV,0,,,
Transfer Solutions,0,,,
Trans-ix,0,,,
Treant Zorggroep ,0,,,
Trifork,0,,,
Triodos bank,0,,,
TriOpSys BV,0,,,
Triskelion,0,,,
TU Delft,0,,,
TU Eindhoven,0,,,
Tuning,0,,,
TXO Systems Ltd,0,,,
ULC Groep b.v.,0,,,
Ultimaker,0,,,
UMC Utrecht ,0,,,
Uniserver Internet BV,0,,,
Unit4,0,,,
Univé,0,,,
Universal Electronics ,0,,,
Universiteit Utrecht,0,,,
USG legal professionals,0,,,
USMAC UK LTD,0,,,
U-Stal,0,,,
UW,0,,,
Valcon,0,,,
Valori,0,,,
Valtech,0,,,
van Lanschot Kempen,0,,,
Van Mossel Automotive Groep,0,,,
Van Oord Dredging and Marine contractors bv.,0,,,
van Wijnen,0,,,
Vandeputte Medical,0,,,
Vattenfal,0,,,
VBVB ICT Diensten,0,,,
VeldhovenGroup,0,,,
Vereniging eigen huis,0,,,
Verentis B.V.,0,,,
Vesting Finance,0,,,
VHSO advocaten,0,,,
Viadennis International BV,0,,,
Vialis,0,,,
Vibe Group,0,,,
Visma Idella,0,,,
Visma Raet,0,,,
Visolity,0,,,
Viterra,0,,,
Vitreq,0,,,
vjtest002,0,,,
VodafoneZiggo,0,,,
Volksbank,0,,,
VOO,0,,,
Vopak Koninklijke,0,,,
Vrumona,0,,,
VWD Group Netherlands B.V.,0,,,
VZW Vrienden,0,,,
Wacker Biotech BV,0,,,
Ware247 Ltd.,0,,,
Warner Bros,0,,,
Waterdrinker Aalsmeer,0,,,
Waternet,0,,,
Waterschap Aa en Maas,0,,,
WAVENDON ELECTRONICS LTD,0,,,
WEPROCEED,0,,,
WeThinkNew Recruitment,0,,,
Wilhelmina Ziekenhuis Assen,0,,,
Wink Accessories B.V.,0,,,
Worley Europe,0,,,
WPG uitgevers,0,,,
XCES BV,0,,,
Xeptor B.V.,0,,,
Young Capital,0,,,
Youvia voormalig DTG Media,0,,,
Yubey Trading S.L.U.,0,,,
ZAAM Interconfessioneel Voortgezet Onderwijs,0,,,
Zeeman,0,,,
Ziekenhuis Amstelland ,0,,,
Zixtel Limited,0,,,
ZOOStock,0,,,
Zubalaphone,0,,,
